Objetivo 1, Objetivo 2, Porcentaje de peticiones servidas, Solucion factible
83997.0,54583.0,9.091,SI
121447.0,22582.0,36.364,SI
121447.0,22582.0,36.364,SI
83997.0,54583.0,9.091,SI
103135.0,23990.0,36.364,SI
101686.0,30753.0,45.455,SI
88379.0,46687.0,18.182,SI
89030.0,46123.0,18.182,SI
90979.0,41493.0,27.273,SI
96304.0,32482.0,36.364,SI
90979.0,41493.0,27.273,SI
88379.0,46687.0,18.182,SI
92922.0,38402.0,27.273,SI
94593.0,33813.0,36.364,SI
92922.0,38402.0,27.273,SI
96304.0,32482.0,36.364,SI
93561.0,36202.0,36.364,SI
93561.0,36202.0,36.364,SI
103135.0,23990.0,36.364,SI
94593.0,33813.0,36.364,SI
83997.0,54583.0,9.091,SI
90979.0,41493.0,27.273,SI
88379.0,46687.0,18.182,SI
96304.0,32482.0,36.364,SI
103135.0,23990.0,36.364,SI
94593.0,33813.0,36.364,SI
83997.0,54583.0,9.091,SI
90979.0,41493.0,27.273,SI
96304.0,32482.0,36.364,SI
103135.0,23990.0,36.364,SI
94593.0,33813.0,36.364,SI
83997.0,54583.0,9.091,SI
90979.0,41493.0,27.273,SI
103135.0,23990.0,36.364,SI
90979.0,41493.0,27.273,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
90979.0,41493.0,27.273,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
90979.0,41493.0,27.273,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
90979.0,41493.0,27.273,SI
83997.0,54583.0,9.091,SI
90979.0,41493.0,27.273,SI
103135.0,23990.0,36.364,SI
83997.0,54583.0,9.091,SI
90979.0,41493.0,27.273,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
90979.0,41493.0,27.273,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
90979.0,41493.0,27.273,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
90979.0,41493.0,27.273,SI
90979.0,41493.0,27.273,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
90979.0,41493.0,27.273,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
83997.0,54583.0,9.091,SI
